node	Freshwater	Gut	Hot Spring	Marine	Soda Lake	Soil
root	0.010929003040639958	0.10698263036640751	0.8328057968151018	0.03708778894276087	0.010372102061265627	0.0018226787738242873
n0	0.014956571827958884	0.2108458558344443	0.7380406280735944	0.024133984894052697	0.010755362333056042	0.0012675970368935768
n3535	0.0017316229471264666	0.01274190351374163	0.9510285235513275	0.03226102489614463	0.0018680080735494356	0.0003689170181103847
g0053	0.0	1.0	0.0	0.0	0.0	0.0
n00	0.03470288736420414	0.15367501293724223	0.7530764414732692	0.03497419038932673	0.02176741901417478	0.0018040488217829576
g0002	0.0	0.0	1.0	0.0	0.0	0.0
n36	0.0013335207314028145	0.004333592576889601	0.8583695859508379	0.13384392559770084	0.001730963892898399	0.00038841125027041926
n1	0.01897332612012634	0.07451408843289598	0.8633083234022468	0.026828991509508283	0.01447187153479621	0.0019033990004262977
n11	0.22483513755539575	0.19162519183296547	0.2879554986134699	0.16048697306104678	0.1280415313150534	0.007055667622068666
n3636	0.001393384014389101	0.0030764872767103037	0.871875056921755	0.12133544383382439	0.0018861438404314161	0.0004334841128899062
g0018	0.0	0.0	0.0	1.0	0.0	0.0
g0038	0.0	0.0	1.0	0.0	0.0	0.0
g0061	0.038361632250741455	0.09799202198674092	0.714265612504364	0.096947326886258	0.04350399870045932	0.008929407671436258
n2	0.12131469860832314	0.07364266189645474	0.09650088341089984	0.3575048683622086	0.3466598566565047	0.0043770310656090225
n29	0.4881132681327003	0.2896191893703168	0.08414991083841575	0.08257026483297378	0.043139281674500006	0.012408085151093312
n37	0.011977746630372701	0.01986319853691125	0.3968540068410924	0.5508885148007054	0.01656491237853892	0.003851620812379252
g0019	0.0	0.0	1.0	0.0	0.0	0.0
n22	0.013456527380503323	0.010265582213590826	0.010153964253704533	0.8968306589139085	0.06830828858733237	0.0009849786509605462
n2121	0.08279016611215949	0.01093494630025405	0.009867914096625855	0.03897296503258426	0.8565023370465077	0.0009316714118685757
n2929	0.9275135364069832	0.023208861411330318	0.006751220325772842	0.036590935439791444	0.004672500610979854	0.001262945805142298
n31	0.27670254369266906	0.6170959350455432	0.019048098907581325	0.04480829856608137	0.013134696163078802	0.029210427625046317
g0003	0.0326629402464052	0.05347268091767501	0.334285728340582	0.5238531778668631	0.04520901758251978	0.01051645504595483
g0004	0.0	0.0	0.0	1.0	0.0	0.0
n3	0.0029520538399860803	0.00344478996755843	0.002020269045331017	0.9422000180620931	0.048978605786035016	0.0004042632989964849
n2020	0.0014327506116314755	0.0014399463681785832	0.0009711604804140324	0.9901588407081395	0.005792601228769549	0.0002047006028667548
