node	Freshwater	Gut	Hot Spring	Marine	Soda Lake	Soil
n3333	0.6369547532308294	0.26838719919665416	0.007311767485739587	0.04920535815245533	0.01704577217045774	0.021095149763863938
n3434	0.0011447944980587218	0.002176167207493917	0.0001447921485790999	0.002518627583470561	0.00035435920334339404	0.9936612593590542
n35	0.06109418225752684	0.11539871750462304	0.008682537527804915	0.6058551361498854	0.021813463403368438	0.18715596315679134
n44	0.000280449766762267	0.00047082174530625677	0.0001352534686631585	0.9985519208466292	0.0004716947470397157	8.98594255993366e-05
n10	0.00022743174804423625	0.0003820225820961281	0.00010969209437047548	0.9988595871992535	0.00034840163928106664	7.286473695455008e-05
n12	0.00032064215359798345	0.0015564792673342066	0.00015523632074786314	0.9973312157730364	0.0005342328771369574	0.00010219360814653387
n13	0.004296664911779521	0.15114043388364118	0.0020700515626266105	0.8347122851011042	0.006401941428985193	0.0013786231118633344
n19	0.0019684514221573637	0.0031929331523151447	0.0009508119943131542	0.3045441218113052	0.688714310300259	0.000629371319650128
g0031	0.0	0.0	0.0	0.0	1.0	0.0
n20	0.0002454766351546198	0.00039740458892899034	0.0001189127686976547	0.9982959737459164	0.000864056100695152	7.817616060718569e-05
g0034	0.0	0.0	0.0	1.0	0.0	0.0
n24	4.34839480694608e-05	7.056606626324356e-05	2.08331799054047e-05	0.00014212535346909156	0.9997090309412802	1.3960511012657194e-05
g0015	0.0	0.0	0.0	0.0	1.0	0.0
n27	3.986458744582706e-05	6.469250878714659e-05	1.909913461267186e-05	0.00013029557240486588	0.9997332496874081	1.2798509341378766e-05
g0035	0.0	0.0	0.0	0.0	1.0	0.0
g0024	0.0	1.0	0.0	0.0	0.0	0.0
g990075	1.0	0.0	0.0	0.0	0.0	0.0
g0028	0.14821624148344972	0.6609634570383243	0.015950566273018635	0.1082902457774611	0.042692792983385915	0.023886696444360343
g990070	0.0	1.0	0.0	0.0	0.0	0.0
g0063	1.0	0.0	0.0	0.0	0.0	0.0
g990074	0.541777514046119	0.2559236340545361	0.01695944421830558	0.11517541247388195	0.04560073235831897	0.024563262848838512
g0027	0.0	0.0	0.0	0.0	0.0	1.0
g990072	0.0	0.0	0.0	0.0	0.0	1.0
g0000	0.07267384133042833	0.13129718407267701	0.01807609170833018	0.5686297179729025	0.04948455698613245	0.15983860792952953
g990076	0.0	0.0	0.0	1.0	0.0	0.0
n5	0.0005199548995411319	0.0008488109547354243	0.00024985604841162336	0.9970289332035321	0.0011850241285297723	0.00016742076524997173
n77	0.00022679608224549462	0.00037034379632124996	0.00010898722196153088	0.9989003491039824	0.0003205011218236774	7.302267366555328e-05
n1010	0.00020146250683190738	0.000328827718184608	9.680757877044742e-05	0.9990267081371937	0.0002813231226496963	6.487093636942333e-05
g0042	0.0	0.0	0.0	1.0	0.0	0.0
n1212	0.00021085765799960405	0.0004167806860604546	0.00010137533811620379	0.9989047734638191	0.0002983649438911107	6.784791011366782e-05
g0007	0.0	0.0	0.0	1.0	0.0	0.0
n1313	0.006127880304111206	0.07732266216441168	0.0029464762699731	0.9029353467806442	0.008696165751705854	0.0019714687291537583
n1414	0.0012448656054076287	0.9559118982787084	0.0005982606289103493	0.0401006904360929	0.0017435043370371502	0.0004007807138435545
g0029	0.0	0.0	0.0	0.0	1.0	0.0
g990067	0.0	0.0	0.0	1.0	0.0	0.0
g0033	0.0	0.0	0.0	1.0	0.0	0.0
g990066	0.0	0.0	0.0	1.0	0.0	0.0
n2424	4.1463557263510205e-05	6.749691492884682e-05	1.9915802564333687e-05	0.00013591507396145408	0.9997218532377553	1.3355413526519015e-05
n2525	4.1463557263510205e-05	6.749691492884682e-05	1.9915802564333687e-05	0.00013591507396145408	0.9997218532377553	1.3355413526519015e-05
g0030	0.0	0.0	0.0	0.0	1.0	0.0
g0036	0.0	0.0	0.0	0.0	1.0	0.0
n55	0.0030417393408526	0.0049532623471909626	0.0014611982203588392	0.9799466285817042	0.009617340308983478	0.00097983120091001
n7	0.00022556611462584358	0.0003673979815142691	0.00010836097540085222	0.9988806571228909	0.0003453592085838921	7.265859698430863e-05
n8	0.00023908768763115096	0.0003893410345144446	0.00011485365317593502	0.9988481228966931	0.0003315778595256051	7.701686845970893e-05
g0056	0.0	0.0	0.0	1.0	0.0	0.0
g0008	0.0	0.0	0.0	1.0	0.0	0.0
g0057	0.0	0.0	0.0	1.0	0.0	0.0
g0006	0.0	0.0	0.0	1.0	0.0	0.0
g0062	0.0	0.0	0.0	1.0	0.0	0.0
n14	0.0007947010535825184	0.0060783626034104695	0.0003819508110792821	0.9913737968595119	0.0011153655709976408	0.00025582310141822594
g990068	0.027897561408422054	0.10027992346664243	0.013403419991245677	0.8106352049304404	0.038799032026332544	0.008984858176916834
n15	0.0001560847066656007	0.9974795391635487	7.498934962605894e-05	0.002022168765094979	0.00021694683474379062	5.027118032095545e-05
n17	0.00015537708522938152	0.9974908504455465	7.46493807766658e-05	0.0020131164629283455	0.00021596335404638702	5.0043271472853266e-05
g0009	0.0	0.0	0.0	0.0	1.0	0.0
n25	3.9690760033223614e-05	6.461863255413122e-05	1.9066122811312674e-05	0.00013011818596022267	0.9997337203268114	1.2785971829715357e-05
g0010	0.0	0.0	0.0	0.0	1.0	0.0
n26	3.9690760033223614e-05	6.461863255413122e-05	1.9066122811312674e-05	0.00013011818596022267	0.9997337203268114	1.2785971829715357e-05
g0001	0.025383549973438627	0.041326848785544996	0.012193492756775682	0.8733696183533991	0.03954943306056351	0.008177057070278113
n6	0.0010407396020022186	0.0016945679356631818	0.0004999453683516008	0.9835163084497985	0.012913179693030572	0.00033525895115382937
g0020	0.0	0.0	0.0	1.0	0.0	0.0
g0041	0.0	0.0	0.0	1.0	0.0	0.0
n88	0.00020231139331848463	0.0003293815161897467	9.718426910592709e-05	0.9990257935061271	0.000280156693673997	6.517262158482572e-05
n9	0.00021970720380166326	0.0003577034480109353	0.0001055406882075198	0.9989420263495435	0.0003042457984329981	7.07765120033129e-05
g0022	0.0	0.0	0.0	1.0	0.0	0.0
g990073	0.0	0.0	0.0	1.0	0.0	0.0
g0044	0.0	1.0	0.0	0.0	0.0	0.0
n1515	6.646102263594519e-05	0.9995042691231442	3.192627083997608e-05	0.0002838764921202981	9.205769768427875e-05	2.140939357528221e-05
n1717	6.0387563109198955e-05	0.9995495590422628	2.9008727590137734e-05	0.0002579466211263884	8.36451237459462e-05	1.9452922165481156e-05
g990078	0.0	1.0	0.0	0.0	0.0	0.0
g0011	0.0	0.0	0.0	0.0	1.0	0.0
g0013	0.0	0.0	0.0	0.0	1.0	0.0
g0012	0.0	0.0	0.0	0.0	1.0	0.0
g0014	0.0	0.0	0.0	0.0	1.0	0.0
n66	0.002330841425317703	0.0037948047928260537	0.0011196649509401962	0.9058788590957724	0.0861249714939421	0.000750858241201576
g0039	0.0	0.0	0.0	1.0	0.0	0.0
g0026	0.0	0.0	0.0	1.0	0.0	0.0
g0055	0.0	0.0	0.0	1.0	0.0	0.0
n99	0.00020076414467849014	0.00032685646420058497	9.644079289182365e-05	0.9990332851973844	0.00027797900606747484	6.467439477704613e-05
g990077	0.0	0.0	0.0	1.0	0.0	0.0
n16	5.468673059835844e-05	0.9996437939746396	2.626980304159584e-05	0.0001819124938712802	7.572016394790412e-05	1.7616833900969248e-05
n1616	5.468673059835844e-05	0.9996437939746396	2.626980304159584e-05	0.0001819124938712802	7.572016394790412e-05	1.7616833900969248e-05
g0051	0.0	1.0	0.0	0.0	0.0	0.0
g990080	0.0	1.0	0.0	0.0	0.0	0.0
g0016	0.0	0.0	0.0	0.0	1.0	0.0
g990065	0.0	0.0	0.0	1.0	0.0	0.0
g0040	0.0	0.0	0.0	1.0	0.0	0.0
g0043	0.0	0.0	0.0	1.0	0.0	0.0
g0058	0.0	1.0	0.0	0.0	0.0	0.0
g0059	0.0	1.0	0.0	0.0	0.0	0.0
g990081	0.0	1.0	0.0	0.0	0.0	0.0
g990082	0.0	1.0	0.0	0.0	0.0	0.0
