Node,Gene,Gene_family,Duplications,Transfers,Losses,Originations,Copies,,,
316346,90,349_MSA.fa.ufboot.ale.uml_rec,0.09,0.62,0,0,0.73,,,
316529,90,38_MSA.fa.ufboot.ale.uml_rec,0.08,0.09,0.58,0,1.39,,,
313892,90,1281_MSA.fa.ufboot.ale.uml_rec,0.08,0.16,0.09,0.06,0.73,,,
318554,90,5815_MSA.fa.ufboot.ale.uml_rec,0.08,0.02,0.07,0.1,0.83,,,
319205,90,6415_MSA.fa.ufboot.ale.uml_rec,0.08,0.04,0.01,0.05,0.79,,,
316828,90,4221_MSA.fa.ufboot.ale.uml_rec,0.08,0,0,0.76,1.08,,,
316856,90,4215_MSA.fa.ufboot.ale.uml_rec,0.08,0,0,0.75,1.1,,,
317293,90,4630_MSA.fa.ufboot.ale.uml_rec,0.07,0.02,0.15,0.01,1.81,,,
316760,90,4130_MSA.fa.ufboot.ale.uml_rec,0.07,0.1,0.08,0.06,0.6,,,
314693,90,2106_MSA.fa.ufboot.ale.uml_rec,0.07,0.66,0.07,0,1.04,,,
315390,90,2784_MSA.fa.ufboot.ale.uml_rec,0.07,0.15,0.04,0.02,0.82,,,
313666,90,1028_MSA.fa.ufboot.ale.uml_rec,0.07,0.01,0.03,0.21,0.74,,,
316555,90,3926_MSA.fa.ufboot.ale.uml_rec,0.07,0.01,0.03,0.03,1.04,,,
315746,90,3131_MSA.fa.ufboot.ale.uml_rec,0.07,0.18,0.02,0.03,0.51,,,
319997,90,662_MSA.fa.ufboot.ale.uml_rec,0.07,0.03,0.02,0.01,1.05,,,
314185,90,1599_MSA.fa.ufboot.ale.uml_rec,0.07,0.73,0.01,0,1.07,,,
315892,90,3229_MSA.fa.ufboot.ale.uml_rec,0.07,0.29,0,0.38,0.95,,,
315958,90,3374_MSA.fa.ufboot.ale.uml_rec,0.07,0,0,0.81,1.08,,,
315996,90,3409_MSA.fa.ufboot.ale.uml_rec,0.06,0.11,0.31,0,1.21,,,
314259,90,1675_MSA.fa.ufboot.ale.uml_rec,0.06,0.25,0.1,0.01,0.57,,,
314489,90,1909_MSA.fa.ufboot.ale.uml_rec,0.06,0.16,0.1,0.46,1.02,,,
313986,90,1373_MSA.fa.ufboot.ale.uml_rec,0.06,0.35,0.06,0.02,0.96,,,
315604,90,299_MSA.fa.ufboot.ale.uml_rec,0.06,0.14,0.06,0,0.71,,,
315222,90,2621_MSA.fa.ufboot.ale.uml_rec,0.06,0.25,0.04,0.05,1.17,,,
320822,90,704_MSA.fa.ufboot.ale.uml_rec,0.06,0.55,0.04,0.04,1.59,,,
319186,90,6385_MSA.fa.ufboot.ale.uml_rec,0.06,0,0.03,0,1.07,,,
314393,90,180_MSA.fa.ufboot.ale.uml_rec,0.06,0.44,0.02,0.06,1.12,,,
315779,90,3158_MSA.fa.ufboot.ale.uml_rec,0.06,0.17,0.02,0.24,0.84,,,
313722,90,108_MSA.fa.ufboot.ale.uml_rec,0.06,0.02,0.01,0.39,0.58,,,
314408,90,1824_MSA.fa.ufboot.ale.uml_rec,0.06,0.14,0.01,0.06,1.02,,,
315668,90,3061_MSA.fa.ufboot.ale.uml_rec,0.06,0.42,0.01,0.22,1.02,,,
316306,90,3616_MSA.fa.ufboot.ale.uml_rec,0.06,0.21,0.01,0.25,0.85,,,
313997,90,1383_MSA.fa.ufboot.ale.uml_rec,0.06,0,0,0.86,1.06,,,
319538,90,6733_MSA.fa.ufboot.ale.uml_rec,0.06,0.15,0,0.22,0.5,,,
314621,90,2040_MSA.fa.ufboot.ale.uml_rec,0.05,0.92,0.58,0.02,1.05,,,
318265,90,5541_MSA.fa.ufboot.ale.uml_rec,0.05,0.04,0.29,0.01,1.11,,,
319206,90,6413_MSA.fa.ufboot.ale.uml_rec,0.05,0.03,0.04,0.05,0.72,,,
316457,90,382_MSA.fa.ufboot.ale.uml_rec,0.05,0.3,0.03,0.01,0.59,,,
317584,90,469_MSA.fa.ufboot.ale.uml_rec,0.05,0.16,0.03,0.08,0.67,,,
320924,90,886_MSA.fa.ufboot.ale.uml_rec,0.05,0.48,0.03,0.01,0.98,,,
314428,90,1845_MSA.fa.ufboot.ale.uml_rec,0.05,0.5,0.01,0.03,0.66,,,
313648,90,1007_MSA.fa.ufboot.ale.uml_rec,0.05,0,0,0.84,1.05,,,
313742,90,1111_MSA.fa.ufboot.ale.uml_rec,0.05,0.22,0,0.5,0.93,,,
314139,90,1554_MSA.fa.ufboot.ale.uml_rec,0.05,0.16,0,0.13,1.32,,,
314613,90,2033_MSA.fa.ufboot.ale.uml_rec,0.05,0.03,0,0,1.06,,,
316187,90,3566_MSA.fa.ufboot.ale.uml_rec,0.05,0.04,0,0,1.02,,,
316416,90,37_MSA.fa.ufboot.ale.uml_rec,0.05,0.17,0,0.37,0.78,,,
320840,90,875_MSA.fa.ufboot.ale.uml_rec,0.04,0.04,0.19,0,1.34,,,
315003,90,2412_MSA.fa.ufboot.ale.uml_rec,0.04,0.23,0.17,0,0.88,,,
315803,90,3198_MSA.fa.ufboot.ale.uml_rec,0.04,0.15,0.15,0.04,1.58,,,
315626,90,301_MSA.fa.ufboot.ale.uml_rec,0.04,0.03,0.14,0.02,0.59,,,
314327,90,1746_MSA.fa.ufboot.ale.uml_rec,0.04,0.21,0.11,0.05,0.96,,,
314722,90,2134_MSA.fa.ufboot.ale.uml_rec,0.04,0,0.1,0,1.07,,,
318555,90,5777_MSA.fa.ufboot.ale.uml_rec,0.04,0,0.1,0,1.08,,,
314226,90,1639_MSA.fa.ufboot.ale.uml_rec,0.04,0.72,0.09,0,1.07,,,
314178,90,1592_MSA.fa.ufboot.ale.uml_rec,0.04,1.22,0.07,0,1.89,,,
314474,90,1895_MSA.fa.ufboot.ale.uml_rec,0.04,0.63,0.07,0,1.14,,,
314047,90,1436_MSA.fa.ufboot.ale.uml_rec,0.04,0.54,0.06,0.01,1.98,,,
313959,90,1349_MSA.fa.ufboot.ale.uml_rec,0.04,0.25,0.05,0.06,0.95,,,
314027,90,1416_MSA.fa.ufboot.ale.uml_rec,0.04,0.08,0.05,0.08,0.55,,,
315536,90,2933_MSA.fa.ufboot.ale.uml_rec,0.04,0.39,0.05,0,0.59,,,
317328,90,4646_MSA.fa.ufboot.ale.uml_rec,0.04,0.07,0.05,0.11,1.01,,,
313690,90,1052_MSA.fa.ufboot.ale.uml_rec,0.04,0.06,0.03,0.02,0.59,,,
315384,90,2779_MSA.fa.ufboot.ale.uml_rec,0.04,0.19,0.03,0.02,0.7,,,
316314,90,3666_MSA.fa.ufboot.ale.uml_rec,0.04,0.1,0.03,0.05,0.9,,,
317204,90,4564_MSA.fa.ufboot.ale.uml_rec,0.04,0.04,0.03,0.03,0.78,,,
317679,90,4982_MSA.fa.ufboot.ale.uml_rec,0.04,0.06,0.03,0.02,0.95,,,
319209,90,6428_MSA.fa.ufboot.ale.uml_rec,0.04,0.01,0.03,0.03,0.8,,,
314315,90,1733_MSA.fa.ufboot.ale.uml_rec,0.04,0.11,0.02,0.31,0.54,,,
315400,90,2795_MSA.fa.ufboot.ale.uml_rec,0.04,0.42,0.02,0.05,0.53,,,
315699,90,3085_MSA.fa.ufboot.ale.uml_rec,0.04,0.69,0.02,0,0.81,,,
316510,90,389_MSA.fa.ufboot.ale.uml_rec,0.04,0.27,0.02,0.36,0.95,,,
316628,90,3927_MSA.fa.ufboot.ale.uml_rec,0.04,0.02,0.02,0,1.07,,,
317424,90,474_MSA.fa.ufboot.ale.uml_rec,0.04,0.05,0.02,0.1,0.56,,,
317478,90,4811_MSA.fa.ufboot.ale.uml_rec,0.04,0.04,0.02,0.03,0.52,,,
315465,90,2857_MSA.fa.ufboot.ale.uml_rec,0.04,0.1,0.01,0.27,0.5,,,
315887,90,3171_MSA.fa.ufboot.ale.uml_rec,0.04,0.33,0.01,0.19,0.86,,,
313672,90,1033_MSA.fa.ufboot.ale.uml_rec,0.04,0.44,0,0,1.16,,,
314278,90,1694_MSA.fa.ufboot.ale.uml_rec,0.04,0.31,0,0.22,0.66,,,
315042,90,2448_MSA.fa.ufboot.ale.uml_rec,0.04,0,0,0.01,1.03,,,
317249,90,4562_MSA.fa.ufboot.ale.uml_rec,0.04,0.02,0,0.04,0.82,,,
316091,90,3478_MSA.fa.ufboot.ale.uml_rec,0.03,0.14,0.14,0.02,0.88,,,
316363,90,376_MSA.fa.ufboot.ale.uml_rec,0.03,0,0.09,0,1.04,,,
313896,90,1285_MSA.fa.ufboot.ale.uml_rec,0.03,0.39,0.08,0.01,0.89,,,
315534,90,2931_MSA.fa.ufboot.ale.uml_rec,0.03,0.08,0.08,0.12,0.76,,,
315283,90,2680_MSA.fa.ufboot.ale.uml_rec,0.03,0.32,0.06,0.03,0.89,,,
316543,90,3794_MSA.fa.ufboot.ale.uml_rec,0.03,0.12,0.06,0.04,0.76,,,
314272,90,1689_MSA.fa.ufboot.ale.uml_rec,0.03,0.39,0.04,0.06,0.98,,,
314545,90,1969_MSA.fa.ufboot.ale.uml_rec,0.03,0.24,0.04,0,0.98,,,
315863,90,3203_MSA.fa.ufboot.ale.uml_rec,0.03,0.24,0.03,0.02,0.71,,,
314486,90,1906_MSA.fa.ufboot.ale.uml_rec,0.03,0.36,0.02,0.09,0.66,,,
314565,90,1988_MSA.fa.ufboot.ale.uml_rec,0.03,0.05,0.02,0.05,1.07,,,
314699,90,2111_MSA.fa.ufboot.ale.uml_rec,0.03,0.05,0.02,0.28,1,,,
315014,90,2422_MSA.fa.ufboot.ale.uml_rec,0.03,0.33,0.02,0.04,0.94,,,
318683,90,578_MSA.fa.ufboot.ale.uml_rec,0.03,0.39,0.02,0.06,1.03,,,
319902,90,7066_MSA.fa.ufboot.ale.uml_rec,0.03,0,0.02,0,1.03,,,
313781,90,1154_MSA.fa.ufboot.ale.uml_rec,0.03,0.11,0.01,0.64,0.88,,,
313789,90,1166_MSA.fa.ufboot.ale.uml_rec,0.03,0.18,0.01,0.43,0.83,,,
313906,90,1297_MSA.fa.ufboot.ale.uml_rec,0.03,0.11,0.01,0.01,1.38,,,
315493,90,2890_MSA.fa.ufboot.ale.uml_rec,0.03,0.76,0.01,0.05,0.84,,,
315914,90,3294_MSA.fa.ufboot.ale.uml_rec,0.03,0.23,0.01,0.08,0.99,,,
316350,90,3727_MSA.fa.ufboot.ale.uml_rec,0.03,0.15,0.01,0.1,0.52,,,
316799,90,4119_MSA.fa.ufboot.ale.uml_rec,0.03,0.14,0.01,0.1,1,,,
320902,90,990_MSA.fa.ufboot.ale.uml_rec,0.03,0.11,0.01,0.54,0.89,,,
313800,90,1179_MSA.fa.ufboot.ale.uml_rec,0.03,0.04,0,0,0.85,,,
315744,90,3135_MSA.fa.ufboot.ale.uml_rec,0.03,0.22,0,0,0.78,,,
316562,90,3801_MSA.fa.ufboot.ale.uml_rec,0.03,0.09,0,0.06,0.87,,,
317797,90,5096_MSA.fa.ufboot.ale.uml_rec,0.03,0.06,0,0.49,0.81,,,
318234,90,5507_MSA.fa.ufboot.ale.uml_rec,0.03,0,0,0,1.03,,,
315605,90,2_MSA.fa.ufboot.ale.uml_rec,0.02,0.06,0.31,0.01,0.85,,,
315710,90,3103_MSA.fa.ufboot.ale.uml_rec,0.02,0.1,0.26,0,0.72,,,
314535,90,1957_MSA.fa.ufboot.ale.uml_rec,0.02,0.28,0.23,0.01,1.08,,,
317094,90,4409_MSA.fa.ufboot.ale.uml_rec,0.02,0.1,0.23,0.04,0.75,,,
315667,90,3059_MSA.fa.ufboot.ale.uml_rec,0.02,0.04,0.11,0.05,0.54,,,
315925,90,3324_MSA.fa.ufboot.ale.uml_rec,0.02,0,0.11,0,1.03,,,
313819,90,1196_MSA.fa.ufboot.ale.uml_rec,0.02,0.29,0.1,0.01,1.95,,,
319137,90,609_MSA.fa.ufboot.ale.uml_rec,0.02,0.16,0.1,0.02,0.91,,,
315132,90,2533_MSA.fa.ufboot.ale.uml_rec,0.02,0.36,0.09,0,0.87,,,
314571,90,1994_MSA.fa.ufboot.ale.uml_rec,0.02,0.44,0.08,0.01,1.03,,,
317403,90,473_MSA.fa.ufboot.ale.uml_rec,0.02,0.09,0.08,0.1,0.53,,,
315221,90,2620_MSA.fa.ufboot.ale.uml_rec,0.02,0.16,0.05,0.05,0.8,,,
315927,90,331_MSA.fa.ufboot.ale.uml_rec,0.02,0,0.05,0,1.03,,,
