255492,82,1223_MSA.fa.ufboot.ale.uml_rec,0.03,0.08,0.05,0.0,0.6
255494,82,1225_MSA.fa.ufboot.ale.uml_rec,0.0,0.23,0.16,0.03,0.54
255501,82,1233_MSA.fa.ufboot.ale.uml_rec,0.01,0.03,0.02,0.0,1.02
255502,82,1234_MSA.fa.ufboot.ale.uml_rec,0.0,0.03,0.01,0.01,1.16
255508,82,123_MSA.fa.ufboot.ale.uml_rec,0.14,0.0,0.0,0.0,1.21
255512,82,1244_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,1.01
255515,82,1247_MSA.fa.ufboot.ale.uml_rec,0.01,0.05,0.08,0.04,0.96
255519,82,1252_MSA.fa.ufboot.ale.uml_rec,0.0,0.2,0.04,0.02,0.51
255532,82,1271_MSA.fa.ufboot.ale.uml_rec,0.0,0.18,0.25,0.02,0.89
255533,82,1272_MSA.fa.ufboot.ale.uml_rec,0.0,0.08,0.04,0.0,0.98
255536,82,1275_MSA.fa.ufboot.ale.uml_rec,0.02,0.02,0.07,0.0,0.58
255544,82,1285_MSA.fa.ufboot.ale.uml_rec,0.03,0.31,0.09,0.0,1.64
255545,82,1286_MSA.fa.ufboot.ale.uml_rec,0.0,0.05,0.0,0.71,0.88
255546,82,1287_MSA.fa.ufboot.ale.uml_rec,0.0,0.23,0.0,0.31,0.69
255547,82,1289_MSA.fa.ufboot.ale.uml_rec,0.0,0.37,0.02,0.0,1.34
255552,82,1295_MSA.fa.ufboot.ale.uml_rec,0.0,0.31,0.1,0.0,1.06
255553,82,1296_MSA.fa.ufboot.ale.uml_rec,0.0,0.01,0.03,0.0,1.0
255554,82,1297_MSA.fa.ufboot.ale.uml_rec,0.0,0.15,0.37,0.01,1.76
255560,82,1301_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.78,0.0,0.04
255562,82,1303_MSA.fa.ufboot.ale.uml_rec,0.0,0.08,0.05,0.01,0.94
255564,82,1305_MSA.fa.ufboot.ale.uml_rec,0.0,0.06,0.02,0.0,1.06
255565,82,1306_MSA.fa.ufboot.ale.uml_rec,0.0,0.06,0.0,0.01,1.06
255566,82,1307_MSA.fa.ufboot.ale.uml_rec,0.0,0.5,0.36,0.06,1.11
255567,82,1308_MSA.fa.ufboot.ale.uml_rec,0.0,0.15,0.14,0.01,0.91
255568,82,130_MSA.fa.ufboot.ale.uml_rec,0.0,0.31,0.05,0.05,0.71
255569,82,1310_MSA.fa.ufboot.ale.uml_rec,0.01,0.01,0.04,0.0,0.96
255570,82,1311_MSA.fa.ufboot.ale.uml_rec,0.27,0.01,0.01,0.0,1.37
255571,82,1312_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,1.0
255573,82,1314_MSA.fa.ufboot.ale.uml_rec,0.0,0.01,0.0,0.0,1.01
255574,82,1315_MSA.fa.ufboot.ale.uml_rec,0.0,0.16,0.57,0.0,0.34
255576,82,1317_MSA.fa.ufboot.ale.uml_rec,0.0,0.03,0.0,0.0,1.04
255580,82,1320_MSA.fa.ufboot.ale.uml_rec,0.0,0.01,0.0,0.0,1.01
255581,82,1321_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,1.0
255582,82,1322_MSA.fa.ufboot.ale.uml_rec,0.0,0.12,0.0,0.0,0.98
255583,82,1323_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,1.0
255584,82,1324_MSA.fa.ufboot.ale.uml_rec,0.02,0.15,0.04,0.0,2.08
255585,82,1325_MSA.fa.ufboot.ale.uml_rec,0.0,0.04,0.01,0.0,0.97
255586,82,1326_MSA.fa.ufboot.ale.uml_rec,0.0,0.09,0.02,0.0,1.04
255587,82,1327_MSA.fa.ufboot.ale.uml_rec,0.0,0.02,0.0,0.0,1.0
255588,82,1328_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,1.0
255590,82,1330_MSA.fa.ufboot.ale.uml_rec,0.0,0.07,0.04,0.0,0.89
255591,82,1331_MSA.fa.ufboot.ale.uml_rec,0.0,0.02,0.0,0.0,1.02
255592,82,1332_MSA.fa.ufboot.ale.uml_rec,0.0,0.06,0.18,0.0,2.52
255593,82,1333_MSA.fa.ufboot.ale.uml_rec,0.0,0.01,0.01,0.0,1.0
255594,82,1334_MSA.fa.ufboot.ale.uml_rec,0.0,0.02,0.0,0.0,1.03
255595,82,1335_MSA.fa.ufboot.ale.uml_rec,0.0,0.01,0.0,0.0,1.02
255596,82,1336_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.02,0.0,0.98
255597,82,1337_MSA.fa.ufboot.ale.uml_rec,0.0,0.03,0.01,0.0,1.0
255600,82,1340_MSA.fa.ufboot.ale.uml_rec,0.05,0.32,0.0,0.01,1.4
255602,82,1342_MSA.fa.ufboot.ale.uml_rec,0.0,0.07,0.02,0.0,1.99
255607,82,1349_MSA.fa.ufboot.ale.uml_rec,0.08,0.03,0.05,0.0,1.08
255609,82,1350_MSA.fa.ufboot.ale.uml_rec,0.0,0.08,0.0,0.05,0.95
255611,82,1352_MSA.fa.ufboot.ale.uml_rec,0.0,0.01,0.03,0.0,1.02
255612,82,1353_MSA.fa.ufboot.ale.uml_rec,0.03,0.0,0.0,0.0,1.02
255613,82,1354_MSA.fa.ufboot.ale.uml_rec,0.0,0.15,0.1,0.02,1.09
255614,82,1355_MSA.fa.ufboot.ale.uml_rec,0.0,0.1,0.05,0.0,1.03
255615,82,1356_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,1.0
255616,82,1357_MSA.fa.ufboot.ale.uml_rec,0.0,0.09,0.02,0.0,1.0
255617,82,1358_MSA.fa.ufboot.ale.uml_rec,0.0,0.04,0.02,0.0,0.76
255618,82,1359_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,1.0
255619,82,135_MSA.fa.ufboot.ale.uml_rec,0.02,0.26,0.21,0.04,0.73
255620,82,1360_MSA.fa.ufboot.ale.uml_rec,0.0,0.01,0.0,0.0,1.0
255622,82,1362_MSA.fa.ufboot.ale.uml_rec,0.0,0.01,0.0,0.0,1.0
255624,82,1364_MSA.fa.ufboot.ale.uml_rec,0.01,0.02,0.0,0.0,1.03
255625,82,1365_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,1.0
255626,82,1366_MSA.fa.ufboot.ale.uml_rec,0.01,0.03,0.03,0.2,1.11
255628,82,1368_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.03,1.03
255630,82,136_MSA.fa.ufboot.ale.uml_rec,0.02,0.32,0.14,0.05,1.34
255634,82,1373_MSA.fa.ufboot.ale.uml_rec,0.01,0.06,0.19,0.0,1.06
255635,82,1374_MSA.fa.ufboot.ale.uml_rec,0.0,0.2,0.03,0.19,0.97
255651,82,1390_MSA.fa.ufboot.ale.uml_rec,0.0,0.74,0.06,0.0,2.09
255652,82,1391_MSA.fa.ufboot.ale.uml_rec,0.0,0.14,0.07,0.03,0.73
255654,82,1393_MSA.fa.ufboot.ale.uml_rec,0.0,0.02,0.02,0.0,2.0
255672,82,1412_MSA.fa.ufboot.ale.uml_rec,0.0,0.06,0.0,0.0,1.94
255674,82,1415_MSA.fa.ufboot.ale.uml_rec,0.0,0.11,0.09,0.01,0.92
255680,82,1421_MSA.fa.ufboot.ale.uml_rec,0.0,0.17,0.04,0.01,1.06
