Node,Gene,Gene_family,Duplications,Transfers,Losses,Originations,Copies,,Loss,97
240956,80,1285_MSA.fa.ufboot.ale.uml_rec,0,0.24,0.06,0.02,2.81,,,
240960,80,1290_MSA.fa.ufboot.ale.uml_rec,0,0.75,0.02,0,0.98,,,
240961,80,1291_MSA.fa.ufboot.ale.uml_rec,0,0.01,0,0,1,,,
240962,80,1292_MSA.fa.ufboot.ale.uml_rec,0,0,0.11,0,1.99,,,
240964,80,1295_MSA.fa.ufboot.ale.uml_rec,0,0.05,0,0.02,0.97,,,
240965,80,1296_MSA.fa.ufboot.ale.uml_rec,0,0.03,0.01,0,1,,,
240966,80,1297_MSA.fa.ufboot.ale.uml_rec,0.01,0.39,0.11,0,2.01,,,
240967,80,1298_MSA.fa.ufboot.ale.uml_rec,0.05,0.62,0.01,0.13,0.98,,,
240972,80,1301_MSA.fa.ufboot.ale.uml_rec,0,0,0.68,0,0.03,,,
240974,80,1303_MSA.fa.ufboot.ale.uml_rec,0,0.15,0.01,0.01,0.5,,,
240975,80,1304_MSA.fa.ufboot.ale.uml_rec,0.01,0.02,0.81,0,0.75,,,
240976,80,1305_MSA.fa.ufboot.ale.uml_rec,0,0.02,0,0.02,0.98,,,
240977,80,1306_MSA.fa.ufboot.ale.uml_rec,0,0.01,0.02,0.01,1,,,
240979,80,1308_MSA.fa.ufboot.ale.uml_rec,0,0.13,0.04,0.01,0.97,,,
240980,80,130_MSA.fa.ufboot.ale.uml_rec,0,0.16,0.14,0.01,0.7,,,
240981,80,1310_MSA.fa.ufboot.ale.uml_rec,0.08,0.16,0.3,0.02,2.54,,,
240982,80,1311_MSA.fa.ufboot.ale.uml_rec,0.01,0.02,0.23,0,1.01,,,
240985,80,1314_MSA.fa.ufboot.ale.uml_rec,0,0.06,0.07,0.02,1.37,,,
240986,80,1315_MSA.fa.ufboot.ale.uml_rec,0,0.01,0.01,0,1,,,
240988,80,1317_MSA.fa.ufboot.ale.uml_rec,0,0.04,0,0,0.99,,,
240989,80,1318_MSA.fa.ufboot.ale.uml_rec,0,0.06,0.02,0,1.04,,,
240992,80,1320_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1,,,
240993,80,1321_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1,,,
240994,80,1322_MSA.fa.ufboot.ale.uml_rec,0,0.05,0,0,0.93,,,
240996,80,1324_MSA.fa.ufboot.ale.uml_rec,0.02,0.99,0.07,0,2.02,,,
240997,80,1325_MSA.fa.ufboot.ale.uml_rec,0,0.77,0.01,0,0.92,,,
240998,80,1326_MSA.fa.ufboot.ale.uml_rec,0,0.04,0,0,1.01,,,
240999,80,1327_MSA.fa.ufboot.ale.uml_rec,0,0.02,0.01,0,1,,,
241000,80,1328_MSA.fa.ufboot.ale.uml_rec,0,0.01,0,0,1.01,,,
241001,80,1329_MSA.fa.ufboot.ale.uml_rec,0,0,0.05,0.01,0.83,,,
241002,80,1330_MSA.fa.ufboot.ale.uml_rec,0,0.25,0.05,0,1,,,
241003,80,1331_MSA.fa.ufboot.ale.uml_rec,0,0.1,0.09,0,0.66,,,
241004,80,1332_MSA.fa.ufboot.ale.uml_rec,0,0.17,0.02,0,1.96,,,
241005,80,1333_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1,,,
241006,80,1334_MSA.fa.ufboot.ale.uml_rec,0.05,0.01,0,0,1.08,,,
241007,80,1335_MSA.fa.ufboot.ale.uml_rec,0,0.04,0,0,0.96,,,
241008,80,1336_MSA.fa.ufboot.ale.uml_rec,0,0,0.01,0,0.99,,,
241009,80,1337_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1,,,
241010,80,1339_MSA.fa.ufboot.ale.uml_rec,0.02,0.04,0.18,0.01,0.52,,,
241012,80,1340_MSA.fa.ufboot.ale.uml_rec,0,0.1,0,0,2.02,,,
241014,80,1342_MSA.fa.ufboot.ale.uml_rec,0,0.93,0.02,0,2.01,,,
241017,80,1347_MSA.fa.ufboot.ale.uml_rec,0,0.19,0.53,0.02,0.38,,,
241019,80,1349_MSA.fa.ufboot.ale.uml_rec,0.05,0.1,0.55,0,2,,,
241021,80,1350_MSA.fa.ufboot.ale.uml_rec,0,0.82,0.02,0.01,1,,,
241023,80,1352_MSA.fa.ufboot.ale.uml_rec,0.03,0.16,0.03,0,1.02,,,
241024,80,1353_MSA.fa.ufboot.ale.uml_rec,0,0.01,0,0,1.01,,,
241025,80,1354_MSA.fa.ufboot.ale.uml_rec,0,0.25,0.05,0,0.85,,,
241027,80,1356_MSA.fa.ufboot.ale.uml_rec,0,0.04,0.19,0,1,,,
241028,80,1357_MSA.fa.ufboot.ale.uml_rec,0,0.09,0.3,0,1.03,,,
241030,80,1359_MSA.fa.ufboot.ale.uml_rec,0,0.03,0.01,0,0.99,,,
241032,80,1360_MSA.fa.ufboot.ale.uml_rec,0,0,0.07,0.02,0.79,,,
241034,80,1362_MSA.fa.ufboot.ale.uml_rec,0,0.04,0,0,1.01,,,
241035,80,1363_MSA.fa.ufboot.ale.uml_rec,0,0.03,0,0,1.03,,,
241036,80,1364_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1,,,
241037,80,1365_MSA.fa.ufboot.ale.uml_rec,0,0.63,0,0,0.68,,,
241046,80,1373_MSA.fa.ufboot.ale.uml_rec,0.2,0.79,0.11,0,2.27,,,
241047,80,1374_MSA.fa.ufboot.ale.uml_rec,0,0.01,0.16,0,0.52,,,
241048,80,1375_MSA.fa.ufboot.ale.uml_rec,0,0.03,0.1,0,0.64,,,
241063,80,1390_MSA.fa.ufboot.ale.uml_rec,0,0.21,0.06,0,1.12,,,
241064,80,1391_MSA.fa.ufboot.ale.uml_rec,0,0.62,0.01,0.04,0.76,,,
241066,80,1393_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1.99,,,
241075,80,1402_MSA.fa.ufboot.ale.uml_rec,0.01,0,0.32,0,0.57,,,
241076,80,1404_MSA.fa.ufboot.ale.uml_rec,0.02,0.21,0.12,0.05,1.72,,,
241084,80,1412_MSA.fa.ufboot.ale.uml_rec,0,0.03,0.01,0,2.01,,,
241086,80,1415_MSA.fa.ufboot.ale.uml_rec,0,0.39,0,0.05,0.86,,,
241088,80,1417_MSA.fa.ufboot.ale.uml_rec,0,0.45,0,0.5,0.97,,,
241089,80,1418_MSA.fa.ufboot.ale.uml_rec,0.01,0.01,0.64,0.01,0.44,,,
241092,80,1421_MSA.fa.ufboot.ale.uml_rec,0,0.08,0.05,0.03,0.88,,,
241093,80,1422_MSA.fa.ufboot.ale.uml_rec,0,0.15,0.05,0,0.96,,,
241098,80,1427_MSA.fa.ufboot.ale.uml_rec,0,0.03,0.53,0,0.18,,,
241100,80,1429_MSA.fa.ufboot.ale.uml_rec,0,0.43,0,0.56,1,,,
241104,80,1433_MSA.fa.ufboot.ale.uml_rec,0,0.03,0.04,0.04,0.74,,,
241107,80,1436_MSA.fa.ufboot.ale.uml_rec,0.1,0.25,0.69,0,2.45,,,
241122,80,1453_MSA.fa.ufboot.ale.uml_rec,0,0.98,0.12,0,1.69,,,
241124,80,1455_MSA.fa.ufboot.ale.uml_rec,0,0.05,0,0,1.02,,,
241125,80,1456_MSA.fa.ufboot.ale.uml_rec,0,0.49,0,0.06,0.73,,,
241134,80,1469_MSA.fa.ufboot.ale.uml_rec,0,0.01,0,0,1.87,,,
241137,80,1473_MSA.fa.ufboot.ale.uml_rec,0,0.04,0,0.03,0.99,,,
241138,80,1474_MSA.fa.ufboot.ale.uml_rec,0,0.02,0,0,0.9,,,
241139,80,1475_MSA.fa.ufboot.ale.uml_rec,0,0.06,0,0,2.01,,,
241158,80,1496_MSA.fa.ufboot.ale.uml_rec,0,0.6,0,0.04,0.91,,,
241159,80,1498_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1,,,
241162,80,1500_MSA.fa.ufboot.ale.uml_rec,0,0.1,0.43,0.02,0.58,,,
241163,80,1501_MSA.fa.ufboot.ale.uml_rec,0,0.25,0,0.12,0.71,,,
241165,80,1504_MSA.fa.ufboot.ale.uml_rec,0,0.01,0.54,0,0.01,,,
241166,80,1505_MSA.fa.ufboot.ale.uml_rec,0.01,0,0.02,0,1,,,
