277352,85,1199_MSA.fa.ufboot.ale.uml_rec,0.02,0.63,0,0.02,1.23,,,
277355,85,1201_MSA.fa.ufboot.ale.uml_rec,0,0,0,0.01,1,,,
277356,85,1202_MSA.fa.ufboot.ale.uml_rec,0,0.02,0,0.02,0.99,,,
277359,85,1206_MSA.fa.ufboot.ale.uml_rec,0,0.9,0,0,1,,,
277360,85,1207_MSA.fa.ufboot.ale.uml_rec,0,0.84,0,0,1,,,
277363,85,1210_MSA.fa.ufboot.ale.uml_rec,0,0.04,0.18,0,1.55,,,
277370,85,1218_MSA.fa.ufboot.ale.uml_rec,0,0.08,0.29,0.01,0.63,,,
277372,85,121_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1,,,
277374,85,1223_MSA.fa.ufboot.ale.uml_rec,0.02,0.02,0.97,0,0.54,,,
277378,85,1227_MSA.fa.ufboot.ale.uml_rec,0,0.02,0.7,0,0.11,,,
277383,85,1233_MSA.fa.ufboot.ale.uml_rec,0.01,0,0,0,1,,,
277384,85,1234_MSA.fa.ufboot.ale.uml_rec,0.14,0,0.01,0.02,1.13,,,
277390,85,123_MSA.fa.ufboot.ale.uml_rec,0.04,0,0,0,1.07,,,
277394,85,1244_MSA.fa.ufboot.ale.uml_rec,0,0.03,0.02,0,1.01,,,
277397,85,1247_MSA.fa.ufboot.ale.uml_rec,0.01,0.03,0.05,0.03,0.94,,,
277414,85,1271_MSA.fa.ufboot.ale.uml_rec,0,0.04,0.01,0.01,0.94,,,
277415,85,1272_MSA.fa.ufboot.ale.uml_rec,0,0.09,0.02,0,0.94,,,
277417,85,1274_MSA.fa.ufboot.ale.uml_rec,0,0.01,0.68,0,0.11,,,
277418,85,1275_MSA.fa.ufboot.ale.uml_rec,0.05,0.01,0.63,0.01,0.61,,,
277420,85,127_MSA.fa.ufboot.ale.uml_rec,0,0.08,1.2,0,0.46,,,
277422,85,1281_MSA.fa.ufboot.ale.uml_rec,0.01,0.01,1.21,0,0.12,,,
277423,85,1282_MSA.fa.ufboot.ale.uml_rec,0,0.02,0.77,0,0.05,,,
277425,85,1284_MSA.fa.ufboot.ale.uml_rec,0,0.01,0.59,0,0.02,,,
277426,85,1285_MSA.fa.ufboot.ale.uml_rec,0.01,0.71,0.33,0.08,1.39,,,
277429,85,1289_MSA.fa.ufboot.ale.uml_rec,0,0.12,0.01,0.01,0.99,,,
277434,85,1295_MSA.fa.ufboot.ale.uml_rec,0,0.02,0.01,0.01,0.85,,,
277435,85,1296_MSA.fa.ufboot.ale.uml_rec,0,0.44,0.19,0,1.02,,,
